revenue,month,year,product_id
10152380,7,2018,26
65722991,8,2018,26
4331378,9,2018,26
15780590,10,2018,26
19096957,11,2018,26
15239888,12,2018,26
779474,1,2018,26
2378494,2,2018,26
8248024,3,2018,26
43706921,4,2018,26
18788530,5,2019,26
9235561,6,2019,26
4921996,7,2019,26
9883450,8,2019,26
23024030,9,2019,26
